condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2231.089161,1000,False,True,64.156421,2.914568,63.573507
nominal,1,1.000000,1.000000,1.000000,973.072222,459,True,False,26.932872,-1.377643,26.657343
nominal,2,1.000000,1.000000,1.000000,2253.864124,1000,False,True,65.307628,-2.536382,64.800352
nominal,3,1.000000,1.000000,1.000000,2284.965652,1000,False,True,66.847954,2.633204,66.321313
nominal,4,1.000000,1.000000,1.000000,2207.051246,1000,False,True,62.957436,0.980840,62.761268
randomized,0,1.054785,0.861872,0.724584,2148.596512,1000,False,True,60.062759,-2.177004,59.627358
randomized,1,0.806611,1.187962,1.247653,2227.437259,1000,False,True,64.006896,0.011879,64.004521
randomized,2,1.042654,1.137698,1.026175,2195.020205,1000,False,True,62.388467,2.514561,61.885554
randomized,3,1.174029,1.189512,0.701643,2194.368878,1000,False,True,62.333228,-1.314082,62.070412
randomized,4,1.142962,0.720151,1.137793,2207.117096,1000,False,True,62.957202,-2.836860,62.389830
