condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2249.599030,1000,False,True,65.084111,-4.496090,64.184893
nominal,1,1.000000,1.000000,1.000000,2285.565773,1000,False,True,66.874536,-1.665544,66.541427
nominal,2,1.000000,1.000000,1.000000,2209.258694,1000,False,True,63.080483,-3.194093,62.441664
nominal,3,1.000000,1.000000,1.000000,2195.954559,1000,False,True,62.437491,-0.200135,62.397464
nominal,4,1.000000,1.000000,1.000000,1075.633930,490,True,False,30.557297,-0.356042,30.486089
randomized,0,1.054785,0.861872,0.724584,2270.291398,1000,False,True,66.127217,-3.699681,65.387281
randomized,1,0.806611,1.187962,1.247653,2218.713647,1000,False,True,63.551103,0.081057,63.534891
randomized,2,1.042654,1.137698,1.026175,2198.298412,1000,False,True,62.526926,-0.213913,62.484143
randomized,3,1.174029,1.189512,0.701643,523.601999,250,True,False,14.347612,-4.513549,13.444903
randomized,4,1.142962,0.720151,1.137793,2221.373524,1000,False,True,63.704121,-6.592379,62.385645
